agy_code,AgencyName,longitude,latitude,Hydrologic_Region,est_perc_u10,est_perc_o75,est_med_income,DAC_dummy
1332,Santa Clara  City of,-121.9669,37.36465,San Francisco Bay,14,5,95988,0
1387,Vaughn Water Company,-119.1787,35.39359,Tulare Lake,17,3,96958,0
1157,Great Oaks Water Company Incorporated,-121.7912,37.24592,San Francisco Bay,15,3,97367,0
1233,Morgan Hill  City of,-121.642,37.13377,Central Coast,14,4,97874,0
1076,Chino Hills  City of,-117.7242,33.95019,South Coast,13,3,98212,0
1389,Ventura County Waterworks District No. 8,-118.7479,34.26484,South Coast,11,5,98575,0
1102,Discovery Bay Community Services District,-121.5981,37.91234,San Joaquin River,14,5,98610,0
1224,Millbrae  City of,-122.4012,37.59918,San Francisco Bay,11,9,98972,0
1349,South Coast Water District,-117.7273,33.49321,South Coast,9,10,100530,0
1245,North Coast County Water District,-122.4827,37.60897,San Francisco Bay,11,5,100968,0
1305,Rubio Canyon Land and Water Association,-118.1272,34.18895,South Coast,11,7,100999,0
1001,Alameda County Water District,-122.0053,37.52942,San Francisco Bay,13,5,101003,0
1380,Valencia Water Company,-118.5866,34.42801,South Coast,13,4,101049,0
1236,Mountain House Community Services District,-121.5424,37.78421,San Joaquin River,18,2,101230,0
1366,Thousand Oaks  City of,-118.8536,34.20045,South Coast,11,7,101769,0
1043,California Water Service Company Hermosa/Redondo,-118.3813,33.85121,South Coast,13,6,101900,0
1235,Moulton Niguel Water District,-117.7028,33.55709,South Coast,12,5,101963,0
1225,Milpitas  City of,-121.891,37.43359,San Francisco Bay,13,4,102534,0
1237,Mountain View  City of,-122.0795,37.40287,San Francisco Bay,13,5,103117,0
1149,Golden State Water Company Placentia,-117.7888,33.88097,South Coast,12,5,104157,0
1046,California Water Service Company Livermore,-121.771,37.67542,San Francisco Bay,13,6,104181,0
1064,California-American Water Ventura District,-118.9302,34.19379,South Coast,11,7,104561,0
1290,Redwood City  City of,-122.2253,37.50179,San Francisco Bay,14,5,104658,0
1179,Irvine Ranch Water District,-117.7653,33.68207,South Coast,12,4,104717,0
1231,Montecito Water District,-119.6098,34.438,Central Coast,9,10,105445,0
1216,Marin Municipal Water District,-122.5659,37.95486,San Francisco Bay,11,8,105912,0
1360,Sunnyvale  City of,-122.0211,37.38393,San Francisco Bay,15,5,106015,0
1058,California Water Service Company Westlake,-118.8265,34.16679,South Coast,9,8,106500,0
1049,California Water Service Company Mid Peninsula,-122.2998,37.53099,San Francisco Bay,13,7,106990,0
1341,Scotts Valley Water District,-122.0052,37.06229,Central Coast,10,6,107606,0
1388,Ventura County Waterworks District No 1,-118.8823,34.30126,South Coast,12,5,108162,0
1242,Newport Beach  City of,-117.8894,33.62129,South Coast,9,8,108474,0
1253,Olivenhain Municipal Water District,-117.1856,33.04737,South Coast,15,6,108549,0
1067,Camrosa Water District,-118.932,34.23602,South Coast,10,9,108555,0
1406,Yorba Linda Water District,-117.7732,33.8881,South Coast,13,5,110687,0
1345,Sierra Madre  City of,-118.0494,34.16861,South Coast,13,7,111907,0
1282,Poway  City of,-117.0359,32.9787,South Coast,13,5,112065,0
1336,Santa Margarita Water District,-117.5837,33.55777,South Coast,16,4,112361,0
1193,Las Virgenes Municipal Water District,-118.7503,34.11094,South Coast,11,7,112611,0
1084,Coastside County Water District,-122.4497,37.49038,San Francisco Bay,11,6,112857,0
1032,Burlingame  City of,-122.367,37.58455,San Francisco Bay,13,7,113087,0
1187,Laguna Beach County Water District,-117.771,33.55402,South Coast,10,6,113842,0
1119,Estero Municipal Improvement District,-122.2665,37.55534,San Francisco Bay,13,6,115399,0
1107,East Orange County Water District,-117.7952,33.77828,South Coast,10,6,118044,0
1323,San Jose  City of,-121.7992,37.32639,San Francisco Bay,15,5,118865,0
1334,Santa Fe Irrigation District,-117.2194,33.01215,South Coast,14,6,118921,0
1223,Mid-Peninsula Water District,-122.2925,37.51571,San Francisco Bay,13,7,118966,0
1278,Pleasanton  City of,-121.8807,37.66509,San Francisco Bay,13,5,122090,0
1051,California Water Service Company Palos Verdes,-118.3651,33.76452,South Coast,9,12,122288,0
1200,Livermore  City of Division of Water Resources,-121.759,37.70636,San Francisco Bay,13,4,122627,0
1207,Los Angeles County Public Works Waterworks District 29,-118.7041,34.06424,South Coast,10,7,125623,0
1370,Triunfo Sanitation District / Oak Park Water Service,-118.7425,34.18602,South Coast,10,5,127094,0
1220,Menlo Park  City of,-122.1759,37.46146,San Francisco Bay,14,5,127106,0
1104,Dublin San Ramon Services District,-121.9056,37.7329,San Francisco Bay,16,3,127646,0
1038,California Water Service Company Bear Gulch,-122.2879,37.39574,San Francisco Bay,13,8,132113,0
1047,California Water Service Company Los Altos/Suburban,-122.0746,37.35847,San Francisco Bay,14,7,132652,0
1262,Palo Alto  City of,-122.1458,37.39054,San Francisco Bay,12,8,133170,0
1214,Manhattan Beach  City of,-118.3973,33.88955,South Coast,13,6,138782,0
1368,Trabuco Canyon Water District,-117.5892,33.66864,South Coast,12,2,140164,0
1386,Valley Water Company,-118.1943,34.19601,South Coast,10,8,148687,0
1144,Golden State Water Company Cowan Heights,-117.7779,33.77514,South Coast,9,5,149923,0
1169,Hillsborough  Town of,-122.3584,37.55666,San Francisco Bay,13,9,173069,0
