agy_code,AgencyName,longitude,latitude,Hydrologic_Region,est_perc_u10,est_perc_o75,est_med_income,DAC_dummy
1093,Crestline Village Water District,-117.2758,34.24472,South Lahontan,11,6,48479,1
1073,Ceres  City of,-120.9551,37.59723,San Joaquin River,16,4,48665,1
1365,"Tehachapi, City of",-118.4441,35.1307,Tulare Lake,17,4,48802,1
1171,Humboldt Bay Municipal Water District,-124.032,40.80734,North Coast,10,6,48880,1
1167,Hesperia Water District City of,-117.3048,34.39672,South Lahontan,16,5,49058,1
1372,"Tulare, City of",-119.3351,36.20359,Tulare Lake,19,4,49064,1
1027,Brawley  City of,-115.5352,32.97697,Colorado River,17,5,49359,0
1227,"Modesto, City of",-120.9924,37.66321,San Joaquin River,14,5,49396,0
1026,Blythe  City of,-114.576,33.62941,Colorado River,13,5,49423,0
1292,Rialto  City of,-117.3762,34.10371,South Coast,17,3,49669,0
1373,Tuolumne Utilities District,-120.3296,38.00409,San Joaquin River,10,10,49774,0
1396,West Kern Water District,-119.4763,35.16775,Tulare Lake,15,4,49784,0
1346,"Soledad, City of",-121.3198,36.43185,Central Coast,22,3,49797,0
1353,South Tahoe Public Utilities District,-119.9953,38.89565,North Lahontan,11,4,49845,0
1085,"Colton, City of",-117.3189,34.05334,South Coast,18,3,49988,0
1328,San Luis Obispo  City of,-120.6653,35.27219,Central Coast,6,5,49997,0
1395,Watsonville  City of,-121.7697,36.9207,Central Coast,18,4,50108,0
1219,McKinleyville Community Service District,-124.0891,40.95572,North Coast,15,6,50234,0
1261,Palmdale Water District,-118.0013,34.46829,South Lahontan,18,3,50258,0
1039,California Water Service Company Chico District,-121.8611,39.7453,Sacramento River,12,6,50267,0
1129,Fresno  City of,-119.7916,36.77974,Tulare Lake,17,5,50322,0
1308,Sacramento Suburban Water District,-121.3703,38.64887,Sacramento River,14,6,50897,0
1252,Olivehurst Public Utility District,-121.5522,39.06546,Sacramento River,17,4,50973,0
1004,Amador Water Agency,-120.7732,38.38555,San Joaquin River,7,9,51050,0
1062,California-American Water Company Sacramento District,-121.377,38.561,Sacramento River,14,4,51215,0
1037,California Water Service Company Bakersfield,-118.9675,35.35501,Tulare Lake,19,4,51616,0
1111,El Centro  City of,-115.5551,32.78795,Colorado River,17,5,51690,0
1361,Susanville  City of,-120.6469,40.41154,North Lahontan,13,5,52153,0
1009,Apple Valley Ranchos Water Company,-117.2205,34.51879,South Lahontan,13,6,52288,0
1172,Humboldt Community Service District,-124.1473,40.75497,North Coast,11,7,52566,0
1158,"Greenfield, City of",-121.2532,36.32219,Central Coast,22,3,52668,0
1083,Coalinga City of,-120.3143,36.17828,Tulare Lake,14,3,52697,0
1015,Atwater  City of,-120.5992,37.35322,San Joaquin River,16,5,52903,0
1268,Patterson  City of,-121.1362,37.47303,San Joaquin River,19,3,53012,0
1306,Sacramento  City of,-121.4669,38.5652,Sacramento River,14,5,53056,0
1408,Yuba City  City of,-121.6239,39.13528,Sacramento River,16,6,53120,0
1271,Phelan Pinon Hills Community Services District,-117.5649,34.46726,South Lahontan,13,4,53159,0
1311,San Bernardino County Service Area 70J,-117.558,34.45324,South Coast,13,4,53333,0
1397,West Sacramento  City of,-121.543,38.57842,Sacramento River,14,5,53647,0
1229,Monte Vista Water District,-117.7027,34.05667,South Coast,14,4,53700,0
1177,Indio  City of,-116.2336,33.74147,Colorado River,15,8,54021,0
1265,Park Water Company,-118.1488,33.9026,South Coast,15,4,54235,0
1301,Rosamond Community Service District,-118.1855,34.86566,South Lahontan,16,3,54347,0
1160,Grover Beach  City of,-120.6188,35.12039,Central Coast,12,7,54374,0
1374,Turlock  City of,-120.853,37.50421,San Joaquin River,15,6,54671,0
1317,San Fernando  City of,-118.4354,34.2887,South Coast,16,3,54704,0
1109,East Valley Water District,-117.2079,34.13165,South Coast,16,4,54726,0
1384,Valley County Water District,-117.9582,34.10085,South Coast,13,4,55068,0
1082,Coachella Valley Water District,-116.1821,33.59738,Colorado River,12,10,55091,0
1362,Sweetwater Authority,-117.065,32.64966,South Coast,13,6,55387,0
1016,Azusa  City of,-117.913,34.13441,South Coast,15,4,55502,0
1057,California Water Service Company Visalia,-119.2757,36.26698,Tulare Lake,17,5,55582,0
1202,Lodi  City of Public Works Department,-121.279,38.12782,San Joaquin River,14,7,55663,0
1273,Pico Water District,-118.0856,33.99405,South Coast,15,7,56009,0
1196,Lemoore  City of,-119.7982,36.29605,Tulare Lake,18,3,56498,0
1343,Shafter  City of,-119.2155,35.48571,Tulare Lake,17,2,56644,0
1003,Alhambra  City of,-118.1347,34.08407,South Coast,9,7,56773,0
1022,Bellflower-Somerset Mutual Water Company,-118.1254,33.88348,South Coast,14,4,56799,0
1310,San Bernardino County Service Area 64,-117.2623,34.48785,South Lahontan,11,10,56799,0
1234,Morro Bay  City of,-120.8467,35.36872,Central Coast,8,10,56845,0
1337,Santa Maria  City of,-120.4386,34.93547,Central Coast,17,5,56869,0
1125,Fillmore  City of,-118.919,34.40035,South Coast,18,5,56880,0
1304,Rubidoux Community Service District,-117.4106,33.99885,South Coast,17,3,57002,0
1254,Ontario  City of,-117.608,34.05076,South Coast,15,3,57136,0
1295,"Rio Vista, city of",-121.7032,38.17716,Sacramento River,8,14,57166,0
1217,Marina Coast Water District,-121.7968,36.68692,Central Coast,12,5,57272,0
1354,Stockton  City of,-121.3201,37.98551,San Joaquin River,15,5,57380,0
1279,Pomona  City of,-117.7579,34.05725,South Coast,15,4,57496,0
1339,Santa Paula  City of,-119.0938,34.34175,South Coast,16,5,57701,0
1232,Monterey Park  City of,-118.1314,34.05143,South Coast,9,9,57812,0
1208,Los Angeles County Public Works Waterworks District 40,-117.9539,34.65763,South Lahontan,15,4,57893,0
1161,Hanford  City of,-119.6481,36.32529,Tulare Lake,17,5,58091,0
1033,Calaveras County Water District,-120.5282,38.16998,San Joaquin River,9,8,58163,0
1392,Vista Irrigation District,-117.2207,33.1901,South Coast,13,6,58231,0
1205,Lompoc  City of,-120.4719,34.66062,Central Coast,17,4,58345,0
1118,Escondido  City of,-117.0565,33.13266,South Coast,14,5,58366,0
1020,Beaumont-Cherry Valley Water District,-116.9698,33.96629,South Coast,13,7,58391,0
1274,Pinedale County Water District,-119.801,36.83881,Tulare Lake,11,7,58506,0
1272,Pico Rivera  City of,-118.0893,33.9922,South Coast,15,7,58859,0
1124,Fallbrook Public Utility District,-117.2626,33.40777,South Coast,16,4,58933,0
1213,Mammoth Community Water District,-118.9744,37.64262,South Lahontan,12,2,59142,0
1247,North Tahoe Public Utility District,-120.0513,39.23753,North Lahontan,12,3,59529,0
1405,Woodland  City of,-121.7639,38.67652,Sacramento River,14,6,59539,0
1209,Los Angeles Department of Water and Power,-118.4072,34.11917,South Coast,12,5,59707,0
1330,Santa Ana  City of,-117.8809,33.73665,South Coast,16,3,60061,0
1319,San Gabriel County Water District,-118.0935,34.09275,South Coast,10,8,60080,0
1249,Oakdale  City of,-120.8537,37.76672,San Joaquin River,16,5,60132,0
1300,Rohnert Park  City of,-122.6984,38.34798,North Coast,11,5,60314,0
1297,Riverbank  City of,-120.937,37.72988,San Joaquin River,15,4,60382,0
1063,California-American Water Company San Diego District,-117.1139,32.60047,South Coast,14,5,60550,0
1140,Golden State Water Company Bay Point,-121.9608,38.02909,San Francisco Bay,16,3,60663,0
1321,San Gabriel Valley Water Company,-117.7307,34.06452,South Coast,14,5,60827,0
1165,Helix Water District,-116.9693,32.7837,South Coast,13,6,60828,0
1206,Long Beach  City of,-118.1626,33.79641,South Coast,13,4,60863,0
1276,Pittsburg  City of,-121.8953,38.01691,San Francisco Bay,15,4,60956,0
1298,Riverside  City of,-117.4072,33.94147,South Coast,14,4,60988,0
1021,Bella Vista Water District,-122.2785,40.62049,Sacramento River,11,8,61001,0
1002,Alco Water Service,-121.6124,36.71277,Central Coast,18,3,61011,0
1103,Downey  City of,-118.1303,33.93777,South Coast,13,5,61322,0
1183,"Kingsburg, City of",-119.557,36.52072,Tulare Lake,14,6,61322,0
1053,California Water Service Company Salinas District,-121.6529,36.71303,Central Coast,17,4,61564,0
1299,Riverside Highland Water Company,-117.3056,34.018,South Coast,17,5,61597,0
1077,Citrus Heights Water District,-121.2694,38.694,Sacramento River,11,6,61736,0
1133,Garden Grove  City of,-117.9594,33.77876,South Coast,13,5,61790,0
1243,Nipomo Community Services District,-120.5046,35.04312,Central Coast,12,7,61911,0
1385,Valley of the Moon Water District,-122.5032,38.32448,San Francisco Bay,11,8,61947,0
1401,Westminster  City of,-117.9928,33.75208,South Coast,11,7,62001,0
1069,Carmichael Water District,-121.3221,38.6243,Sacramento River,12,9,62019,0
1194,"Lathrop, City of ",-121.3133,37.8096,San Joaquin River,15,3,62209,0
1250,Oceanside  City of,-117.3093,33.22324,South Coast,14,5,62221,0
1110,Eastern Municipal Water District,-117.1264,33.76762,South Coast,15,5,62263,0
1188,Lake Arrowhead Community Services District,-117.1963,34.25362,South Lahontan,13,5,62299,0
1066,Cambria Community Services District,-121.0932,35.56372,Central Coast,7,13,62455,0
1203,Loma Linda  City of *,-117.2497,34.04477,South Coast,12,6,62668,0
1248,Norwalk City of,-118.0783,33.90239,South Coast,13,6,62724,0
1240,Nevada Irrigation District,-121.1351,39.11593,Sacramento River,9,10,62739,0
1215,Manteca  City of,-121.2306,37.79535,San Joaquin River,15,4,62748,0
1071,Casitas Municipal Water District,-119.2956,34.38097,South Coast,12,7,62981,0
1132,Galt  City of,-121.2995,38.26482,Sacramento River,14,5,63013,0
1238,Myoma Dunes Mutual Water Company,-116.2828,33.74349,Colorado River,10,11,63089,0
1170,Hollister  City of,-121.4037,36.86075,Central Coast,16,4,63159,0
1280,Port Hueneme  City of,-119.1603,34.13597,South Coast,16,5,63284,0
1176,Indian Wells Valley Water District,-117.6831,35.61131,South Lahontan,15,6,63334,0
1147,Golden State Water Company Norwalk,-118.0683,33.92198,South Coast,14,5,63416,0
1294,Rio Linda - Elverta Community Water District,-121.4469,38.69971,Sacramento River,17,4,63544,0
1382,Vallejo  City of,-122.2311,38.11243,San Francisco Bay,12,6,63992,0
1259,Oxnard  City of,-119.1811,34.19194,South Coast,16,4,64103,0
1040,"California Water Service Company Dixon, City of",-121.8262,38.44643,Sacramento River,17,4,64399,0
1164,Healdsburg  City of,-122.8645,38.62008,North Coast,10,8,64601,0
1340,Santa Rosa  City of,-122.7053,38.44572,North Coast,13,6,64648,0
1267,Paso Robles  City of,-120.659,35.64014,Central Coast,14,8,64691,0
1150,Golden State Water Company S Arcadia,-118.0299,34.10363,South Coast,12,7,65180,0
1136,Glendale  City of,-118.246,34.18009,South Coast,10,8,65507,0
1096,Davis  City of,-121.7353,38.55658,Sacramento River,9,4,65524,0
1335,Santa Fe Springs  City of,-118.0617,33.92982,South Coast,12,6,65547,0
1293,Rincon Del Diablo Municipal Water District,-117.1014,33.10698,South Coast,10,7,65886,0
1402,Whittier  City of,-118.0364,33.98038,South Coast,13,6,66036,0
1398,West Valley Water District,-117.4041,34.1084,South Coast,16,3,66124,0
1333,Santa Cruz  City of,-122.0339,36.97849,Central Coast,7,5,66177,0
1012,Arroyo Grande  City of,-120.584,35.12408,Central Coast,10,8,66215,0
1090,Covina  City of ,-117.8798,34.08445,South Coast,13,6,66309,0
1320,San Gabriel Valley Fontana Water Company,-117.465,34.09187,South Coast,16,2,67356,0
1256,Orange Vale Water Company,-121.2203,38.68542,Sacramento River,11,6,67427,0
1080,Clovis  City of,-119.6947,36.82001,Tulare Lake,15,5,67936,0
1030,Buena Park  City of,-118.0038,33.85771,South Coast,14,5,68029,0
1006,Anaheim  City of,-117.8573,33.83854,South Coast,14,4,68462,0
1014,Atascadero Mutual Water Company,-120.6821,35.47169,Central Coast,11,7,68469,0
1355,Suburban Water Systems San Jose Hills,-117.9208,34.0428,South Coast,12,6,69035,0
1031,Burbank  City of,-118.3221,34.18766,South Coast,11,7,69149,0
1117,Elsinore Valley Municipal Water District,-117.3238,33.67285,South Coast,15,4,69222,0
1381,Vallecitos Water District,-117.1706,33.15643,South Coast,13,7,69225,0
1190,Lakeside Water District,-116.923,32.87861,South Coast,15,5,69273,0
1138,Golden State Water Company Artesia,-118.0772,33.84701,South Coast,11,6,69602,0
1036,California Water Service Company Antelope Valley,-118.2682,34.82732,South Lahontan,9,7,69819,0
1134,Georgetown Divide Public Utilities District,-120.9087,38.87729,Sacramento River,9,9,70168,0
1204,Lomita  City of,-118.3171,33.79348,South Coast,11,7,70685,0
1313,San Buenaventura  City of,-119.212,34.26967,South Coast,12,8,70711,0
1303,Rowland Water District,-117.9072,33.97979,South Coast,11,6,70750,0
1122,Fair Oaks Water District,-121.2488,38.65344,Sacramento River,10,9,70775,0
1115,El Toro Water District,-117.7094,33.61622,South Coast,9,14,70806,0
1184,La Habra  City of Public Works,-117.95,33.92766,South Coast,13,6,71007,0
1364,Tahoe City Public Utilities District,-120.1527,39.12054,North Lahontan,12,5,71187,0
1358,Sunny Slope Water Company,-118.0749,34.113,South Coast,10,8,71309,0
1131,Fullerton  City of,-117.9265,33.88396,South Coast,13,7,71325,0
1257,Orchard Dale Water District,-118.0259,33.93362,South Coast,13,6,71506,0
1409,Yucaipa Valley Water District,-117.0278,34.03028,South Coast,15,6,71633,0
1017,Bakersfield  City of,-119.0149,35.35055,Tulare Lake,17,4,71662,0
1283,Quartz Hill Water District,-118.215,34.65167,South Lahontan,11,6,71804,0
1378,Upland  City of,-117.661,34.11776,South Coast,12,6,71869,0
1041,California Water Service Company Dominguez,-118.2799,33.83885,South Coast,12,6,72152,0
1070,Carpinteria Valley Water District,-119.5072,34.40742,Central Coast,9,8,72256,0
1175,"Imperial, City of",-115.5741,32.84579,Colorado River,18,4,72370,0
1163,Hayward  City of,-122.0848,37.63042,San Francisco Bay,14,5,72409,0
1275,Pismo Beach  City of,-120.6491,35.14877,Central Coast,8,11,72623,0
1123,Fairfield  City of,-122.0425,38.25151,Sacramento River,14,6,72855,0
